Service,Category,Subcategory,Team Default,Aliases
Enterprise Applications,OIC,Issue with App Client Software,IT Support Desk,
Enterprise Applications,OIC,Report an Application Issue,IT Support Desk,
Enterprise Applications,OMSE,Enhancement Request,IT Support Desk,
Enterprise Applications,OMSE,Issue with a Report,IT Support Desk,
Enterprise Applications,OMSE,Issue with App Client Software,IT Support Desk,
Enterprise Applications,OMSE,Report an Application Issue,IT Support Desk,
Enterprise Applications,OMSE,Request a change to a Report,IT Support Desk,
Enterprise Applications,Onboarding Systems - HR,Enhancement Request,IT Support Desk,
Enterprise Applications,Onboarding Systems - HR,Issue with a Report,IT Support Desk,
Enterprise Applications,Onboarding Systems - HR,Issue with App Client Software,IT Support Desk,
Enterprise Applications,Onboarding Systems - HR,Report an Application Issue,IT Support Desk,
Enterprise Applications,Onboarding Systems - HR,Request a change to a Report,IT Support Desk,
Enterprise Applications,Onboarding Systems - HR,Request a new Report,IT Support Desk,
Enterprise Applications,LIGHTHOUSE,Request a change to a Report,IT Support Desk,
Enterprise Applications,LIGHTHOUSE,Request a new Report,IT Support Desk,
