Service,Category,Subcategory,Team Default,Aliases
Enterprise Applications,Avaya Softphone,Avaya One-X / AAFD Audio Issue,Call Center Tech Operations,
Enterprise Applications,NICE Toolbar,Access Request,Call Center Tech Operations,
Enterprise Applications,Credit Calculator,Access Request,Call Center Tech Operations,
Enterprise Applications,Task Management System (TMS),Other,Call Center Tech Operations,
Enterprise Applications,Task Management System (TMS),Request access to TMS/Particular Task Group like BSAM Request etc,Call Center Tech Operations,
Enterprise Applications,Unified Customer Communication (UCC),Report an Application Issue,Call Center Tech Operations,
Business Services,Contract Management,Contract Workspace Request,Care Vendor Roster Mgmt,
Enterprise Applications,Enterprise L_Charter Salesforce,Access Request,CB IT,
Enterprise Applications,Enterprise L_Charter Salesforce,Enhancement Request,CB IT,
Enterprise Applications,Enterprise L_Charter Salesforce,Request App Client Software,CB IT,
Enterprise Applications,Enterprise L_Charter Salesforce,Unexpected Change to Access,CB IT,
Enterprise Applications,Salesforce Commercial - L_TWC,Access Request,CB IT,
Enterprise Applications,Salesforce Commercial - L_TWC,Enhancement Request,CB IT,
Enterprise Applications,Salesforce Commercial - L_TWC,Issue with App Client Software,CB IT,
Enterprise Applications,Salesforce Commercial - L_TWC,Unexpected Change to Access,CB IT,
Enterprise Applications,Enterprise Salesforce Application Salesforce L_Charter,Request a new Report,CB IT,
Enterprise Applications,Enterprise Salesforce Application Salesforce L_Charter,Access Request,CB IT,
Enterprise Applications,Enterprise L_Charter Salesforce,Issue with App Client Software,CB IT,
Enterprise Applications,Enterprise L_Charter Salesforce,Report an Application Issue,CB IT,
Enterprise Applications,Enterprise L_Charter Salesforce,Request a change to a Report,CB IT,
Enterprise Applications,Enterprise L_Charter Salesforce,Request a new Report,CB IT,
Enterprise Applications,Salesforce Commercial - L_TWC,Report an Application Issue,CB IT,
Enterprise Applications,Salesforce Commercial - L_TWC,Request a change to a Report,CB IT,
Enterprise Applications,Salesforce Commercial - L_TWC,Request a new Report,CB IT,
Enterprise Applications,Salesforce Commercial - L_TWC,Request App Client Software,CB IT,
Enterprise Applications,Enterprise Salesforce Application Salesforce L_Charter,Enhancement Request,CB IT,
Enterprise Applications,SMB L-CHTR Salesforce,Issue with App Client Software,CB IT,
Enterprise Applications,SMB L-CHTR Salesforce,Report an Application Issue,CB IT,
Enterprise Applications,SMB L-CHTR Salesforce,Access Request,CB IT,
Enterprise Applications,SMB L-CHTR Salesforce,Enhancement Request,CB IT,
Enterprise Applications,SMB L-CHTR Salesforce,Request App Client Software,CB IT,
Enterprise Applications,SMB L-CHTR Salesforce,Unexpected Change to Access,CB IT,
Enterprise Applications,Enterprise Salesforce Application Salesforce L_Charter,Request a change to a Report,CB IT,
Enterprise Applications,Charter Business Intelligence (CBI),Microstrategy Secured Object Access,CBI MicroStrategy,
Enterprise Applications,CBI (Microstrategy Reporting),Access Request,CBI MicroStrategy,
Enterprise Applications,CBI (Microstrategy Reporting),Folder Access,CBI MicroStrategy,
Business Services,Contract Management,Contract management request by email,CC - Customer Ops,
Process Management,CI Audit,CI Audit Application Definition,Change Managers,
Process Management,CI Audit,CI Audit Application Instance,Change Managers,
Data Center Services,Compute Services,Satellite Channel Management,Channel Lineup Management,
Enterprise Applications,GATEWAY CUSTOMER MANAGEMENT,Unexpected Change to Access,Charter Gateway Access,
Enterprise Applications,GATEWAY CUSTOMER MANAGEMENT,Access Request,Charter Gateway Access,
Enterprise Applications,Enterprise Gateway,Access Request,Charter Gateway Access,
IT Network Services,IT Network Services,Request a new project be created in Clarity,Clarity Support,
Enterprise Applications,Cherwell,Client Engagement,Client Engagement,
Process Management,CMDB Governance,Submit a Request,CMDB Governance Intake,
Enterprise Applications,SYNCPLICITY,Email change update,Collaboration Tools Group,
Enterprise Applications,OneDrive,Report a OneDrive Issue,Collaboration Tools Group,
Enterprise Applications,OneDrive,H Drive Move Request,Collaboration Tools Group,
Enterprise Applications,OneDrive,Restore deleted content,Collaboration Tools Group,
Enterprise Applications,SharePoint,"Reporting, Questions, and Other Admin Requests",Collaboration Tools Group,
Enterprise Applications,OneDrive,Access Request,Collaboration Tools Group,
Enterprise Applications,SYNCPLICITY,Reports,Collaboration Tools Group,
Enterprise Applications,Secure Data Access,Syncplicity,Collaboration Tools Group,
Enterprise Applications,SYNCPLICITY,Quota Increase Request,Collaboration Tools Group,
Enterprise Applications,SYNCPLICITY,Business Continuity (BC) request - HR/EIM Use Only,Collaboration Tools Group,
Enterprise Applications,SYNCPLICITY,External Access Request,Collaboration Tools Group,
Enterprise Applications,SYNCPLICITY,H Drive Move Request,Collaboration Tools Group,
Enterprise Applications,SYNCPLICITY,Software Installation Issues,Collaboration Tools Group,
Enterprise Applications,SharePoint,Access Request,Collaboration Tools Group,
Enterprise Applications,SharePoint,Report an Application Issue,Collaboration Tools Group,
Enterprise Applications,SharePoint,Request a New Site,Collaboration Tools Group,
Enterprise Applications,SYNCPLICITY,Request a New Account/Access to Syncplicity,Collaboration Tools Group,
Enterprise Applications,SYNCPLICITY,Access Request,Collaboration Tools Group,
Enterprise Applications,SYNCPLICITY,Enhancement Request,Collaboration Tools Group,
Enterprise Applications,SYNCPLICITY,Report an Application Issue,Collaboration Tools Group,
Enterprise Applications,SYNCPLICITY,Request a change to a Report,Collaboration Tools Group,
Enterprise Applications,SYNCPLICITY,Request a new Report,Collaboration Tools Group,
Enterprise Applications,SAP Callidus Cloud,Report an Application Issue,Commission Systems,
Enterprise Applications,SAP Callidus Cloud,Access Request,Commission Systems,
Security,File Integrity Monitoring (FIM),Tripwire Email Report Request,Compliance Assurance,
Security,File Integrity Monitoring (FIM),Tripwire Enterprise Troubleshooting,Compliance Assurance,
Security,File Integrity Monitoring (FIM),Tripwire File Integrity Monitoring Request,Compliance Assurance,
Security,IT - Security,Tanium Technical Baselines Modification Request,Compliance Assurance,
Security,IT - Security,TaniumTechnical Baselines Modification Request,Compliance Assurance,
Enterprise Applications,OSvC ? Ticketing SMB,Access Request,Copilot-CustopsDesktop Team,
Enterprise Applications,COPILOT,Unexpected Change to Access,Copilot-CustopsDesktop Team,
Enterprise Applications,COPILOT,Access Request,Copilot-CustopsDesktop Team,
Business Services,SAP Material Master,Change Item (without price increases),Corp Purchasing,
Enterprise Applications,Kenexa Brassring,Access Request,CORP-ATS Support,
Enterprise Applications,Kenexa Brassring,Unexpected Change to Access,CORP-ATS Support,
Enterprise Applications,Onboarding Systems - HR,Unexpected Change to Access,CORP-ATS Support,
Enterprise Applications,Onboarding Systems - HR,Access Request,CORP-ATS Support,
Enterprise Applications,Termination and Transfer,Access Request,CORP-HRT Support,
Enterprise Applications,Termination and Transfer,Unexpected Change to Access,CORP-HRT Support,
Enterprise Applications,PeopleSoft HR,Other/Miscellaneous Requests,CORP-HRT Support,
Enterprise Applications,PeopleSoft HR,Report a HR Issue,CORP-HRT Support,
Enterprise Applications,Talent Center - LMS,Access Request,CORP-LMS Support,
Enterprise Applications,TIDAL ENTERPRISE SCHEDULER,Ops Scheduling Issues,CORP-OPS-Scheduling,
Enterprise Applications,TIDAL ENTERPRISE SCHEDULER,Failed Jobs,CORP-OPS-Scheduling,
Enterprise Applications,TIDAL ENTERPRISE SCHEDULER,Unexpected Change to Access,CORP-OPS-Scheduling,
Enterprise Applications,TIDAL ENTERPRISE SCHEDULER,Access Request,CORP-OPS-Scheduling,
Enterprise Applications,Unified Customer Communication (UCC),Access Request,COT-UCC,
Business Services,Central Purchasing PO Requests,PO Change Request,CP IT,
Business Services,Central Purchasing PO Requests,PO Request,CP IT,
Business Services,Purchase Orders,PO Request by email,CP IT,
People Management,Security Services,ID Badging,CPS-AMU,
Security,Stolen / Lost,Report Lost/Stolen Physical Access Badges,CPS-AMU,
People Management,Security Services,Corporate Physical Security Applications Access,CPS-CoE,
Enterprise Applications,CSEP - Robotics Process Automation,Report an Issue,CSEP - RPA Support,
Enterprise Applications,Charter Situation Manager,Monitoring Request,CSM Support,
Enterprise Applications,Charter Situation Manager,Report an Application Issue,CSM Support,
Enterprise Applications,Charter Situation Manager,Enhancement Request,CSM Support,
Data Management,NoSQL,MongoDB,Data Assets - MongoDB,
Enterprise Applications,Axon,Report an Issue,Data Governance,
Enterprise Applications,Axon,Access Request,Data Governance,
Enterprise Applications,EDC (Enterprise Data Catalog),Access Request,Data Governance,
Enterprise Applications,EDC (Enterprise Data Catalog),Report an Issue,Data Governance,
Data Center Services,Backup,Restore Backup,DC - Backups,
Data Center Services,Backup,Remove Backup,DC - Backups,
Data Center Services,Backup,Backup Failures,DC - Backups,
Data Center Services,Backup,Add Backup,DC - Backups,
Data Center Services,Backup,Temporarily Suspend,DC - Backups,
Data Center Services,Backup,Adhoc Backup Request,DC - Backups,
Data Center Services,EDC Internal Requests,Business Operations Request,DC - Business Operations,
Data Center Services,Data Center Operations,Cabling Only,DC - DCSC,
Security,IPS-DB Protection,Issue with Imperva Software,DC - DMSecurity,
Security,IPS-DB Protection,Imperva Security Alert,DC - DMSecurity,
Security,IPS-DB Protection,Imperva Software Installation Upgrade,DC - DMSecurity,
Security,IPS-DB Protection,All other Imperva Requests,DC - DMSecurity,
Data Center Services,iSeries Services,IDR/Data Mirror Services,DC - iSeries,
Data Center Services,iSeries Services,Network Security Access,DC - iSeries,
Data Center Services,iSeries Services,Non-production Environment Refresh,DC - iSeries,
Data Center Services,iSeries Services,OS Print Services,DC - iSeries,
Data Center Services,iSeries Services,System Diagnostics Request,DC - iSeries,
Data Center Services,iSeries Services,Undocumented Request,DC - iSeries,
Data Center Services,iSeries Services,User Profile Modifications,DC - iSeries,
Data Center Services,iSeries Services,Backup & Recovery Services,DC - iSeries,
Data Center Services,iSeries Services,Database Journal Services,DC - iSeries,
Data Center Services,New Intake Requests,New Lab Intake Requests,DC - LES,
Data Center Services,New Intake Requests,EDC Solution Design Assistance Meeting,DC - NESE,
Data Center Services,New Intake Requests,Budgetary Infrastructure Quote,DC - NESE,
Data Center Services,Service/Server Management,Server Resources,DC - NESE,
Data Center Services,EDC Internal Requests,Special Project Request,DC - NESE,
Data Center Services,New Intake Requests,New Hardware Infrastructure,DC - NESE,
Data Management,EDP DataBase,SOSM NCE DB,DC - Oracle Database,
Data Management,EDP DataBase,SOSM NCW DB,DC - Oracle Database,
Data Management,EDP DataBase,Telephone Number Inventory DB,DC - Oracle Database,
Data Management,EDP DataBase,Unified  Preffered Communications DB,DC - Oracle Database,
Data Management,EDP DataBase,Agreements Database Access Request,DC - Oracle Database,
Data Management,EDP DataBase,Credit DB,DC - Oracle Database,
